Method,Global Size,Local Work Group Size,Speedup
131072,238.719853,306.133555,248.175210,229.611696
262144,422.659519,392.627451,485.583139,412.888268
524288,780.907470,748.707974,723.606994,872.349241
1048576,1336.228604,1237.323516,1135.746842,1198.131576
2097152,2328.619063,3009.154513,1838.740874,1798.096231
4194304,2663.445871,4739.364040,2543.571731,5047.947209
8388608,3675.818739,6132.709287,7611.034293,2856.077475

,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
32,71.044353,105.974486,238.719853,422.659519,780.907470,1336.228604,2328.619063,2663.445871,3675.818739
64,53.635557,130.791061,306.133555,392.627451,748.707974,1237.323516,3009.154513,4739.364040,6132.709287
128,68.355244,118.375088,248.175210,485.583139,723.606994,1135.746842,1838.740874,2543.571731,7611.034293
256,68.409757,128.163709,229.611696,412.888268,872.349241,1198.131576,1798.096231,5047.947209,2856.077475

